timestamp,latency
1607811952618,0.548
1607815560777,1.031
1607819168936,0.525
1607822777129,0.518
1607826385289,0.543
1607829993480,0.54
1607833601673,0.499
1607837209833,0.551
1607840817992,0.514
1607844426185,0.526
1607848034377,0.502
1607851642568,0.515
1607855250761,0.518
1607858858953,0.544
1607862467112,0.5
1607866075305,0.527
1607869683497,0.765
1607873291656,0.537
1607876899881,0.509
1607880508040,0.523
1607884116233,0.511
1607887724425,0.51
1607891177194,0.546
1607894785384,0.528
1607898393577,0.528
1607902001769,0.508
1607905609961,0.514
1607909218153,0.497
1607912826313,0.529
1607916434505,0.509
1607920042674,0.684
1607923650825,0.525
1607927259017,0.513
1607930867208,0.515
1607934475401,0.544
1607938083593,0.525
1607941691753,0.509
1607945299945,0.507
1607948908137,0.958
1607952516297,0.815
1607956124457,0.541
1607959732649,0.582
1607963340841,0.517
1607966949033,0.561
1607970557202,0.514
1607974165385,1.955
1607977773545,0.906
1607981381737,0.515
1607984989928,0.584
1607988598121,0.738
1607992206345,0.536
1607995814537,0.524
1607999422729,0.555
1608003030921,0.501
1608006639113,0.515
1608010247305,0.501
1608013855465,0.525
1608017463657,0.506
1608021071849,0.543
1608024680041,0.521
1608028288210,0.524
1608031896393,0.53
1608035504585,0.495
1608039112713,0.746
1608042720905,0.702
1608046329065,0.513
1608049937257,0.54
1608053545449,0.527
1608057153641,0.569
1608060761833,0.506
1608064370001,0.625
1608067978153,0.536
1608071586345,0.53
1608075194537,0.905
1608078802729,0.525
1608082410921,0.55
1608086019113,0.522
1608089627305,0.508
1608093235497,0.525
1608096843689,0.657
1608100451849,0.515
1608104060041,0.524
1608107668201,0.495
1608111276393,0.51
1608114884585,0.509
1608118492777,0.596
1608122100937,0.546
1608125709129,0.687
1608129317321,0.642
1608132925513,0.51
1608136533705,0.511
1608140141897,0.494
1608143750089,0.515
1608147358281,0.534
1608150966474,0.583
1608154574665,0.511
1608158182857,0.556
1608161791017,0.502
1608165399209,0.52
1608169007401,0.562
1608172615593,0.537
1608176223785,0.542
1608179831977,0.664
1608183440137,0.516
1608187048329,0.518
1608190656521,0.517
1608194264713,0.508
1608197872905,0.551
1608201481097,0.554
1608205089289,0.479
1608208697458,1.449
1608212305641,0.473
1608215913833,0.523
1608219522001,0.513
1608223130185,0.524
1608226738377,0.545
1608230346569,0.53
1608233954761,0.533
1608237562953,0.526
1608241171113,0.517
1608244779305,0.652
1608248387497,0.532
1608251995689,0.973
1608255603849,0.554
1608259212041,0.52
1608262820233,0.513
1608266428425,0.534
1608270036617,0.543
1608273644809,0.55
1608277253001,0.52
1608280861193,0.537
1608284469385,0.568
1608288077577,0.495
1608291685769,0.546
1608295293961,0.525
1608298902153,0.555
1608302510313,0.497
1608306118505,0.523
1608309726697,0.624
1608313334889,0.525
1608316943081,0.552
1608320551273,0.496
1608324159465,0.677
1608327767625,0.537
1608331375817,0.496
1608334984009,0.548
1608338592201,0.514
1608342200393,0.52
1608345808585,0.549
1608349416777,0.523
1608353024969,1.232
1608356633129,0.538
1608360241323,0.543
1608363849513,0.512
1608367457705,0.548
1608371065897,0.537
1608374674089,0.487
1608378282281,0.677
1608381890441,0.524
1608385498633,0.768
1608389106793,0.61
1608392714985,0.481
1608396323177,0.493
1608399931369,0.505
1608403539561,1.007
1608407147721,0.556
1608410755913,1.315
1608414364137,0.611
1608417972329,0.508
1608421580521,0.494
1608425188713,0.52
1608428796905,0.508
1608432405096,0.524
1608436013289,0.579
1608439621481,0.53
1608443229673,0.531
1608446837865,0.513
1608450446057,0.517
1608454054249,0.526
1608457662441,0.52
1608461270633,0.512
1608464878825,0.726
1608468486985,0.498
1608472095177,0.547
1608475703369,0.518
1608479311561,0.516
1608482919753,0.532
1608486527945,0.574
1608490136137,0.535
1608493744329,0.717
1608497352521,0.603
1608500960713,0.535
1608504568905,0.516
1608508177097,0.522
