timestamp,latency
1607811948529,0.517
1607815556727,0.619
1607819164857,0.577
1607822773048,0.509
1607826381240,0.643
1607829989400,0.512
1607833597591,0.493
1607837205784,0.646
1607840813944,0.761
1607844422104,0.551
1607848030296,0.517
1607851638487,0.48
1607855246680,0.483
1607858854872,0.51
1607862463016,0.498
1607866071224,0.494
1607869679415,0.591
1607873287553,0.505
1607876895783,0.501
1607880503991,0.543
1607884112152,0.657
1607887720344,0.5
1607891173145,0.675
1607894781304,0.528
1607898389495,0.532
1607901997687,0.504
1607905605880,0.499
1607909214071,0.502
1607912822264,0.766
1607916430424,0.503
1607920038615,1.292
1607923646743,0.508
1607927254935,0.511
1607930863127,0.493
1607934471320,0.515
1607938079511,0.5
1607941687703,0.605
1607945295864,0.498
1607948904058,0.503
1607952512216,0.54
1607956120375,0.494
1607959728568,0.524
1607963336760,0.511
1607966944951,0.531
1607970553144,0.684
1607974161305,0.498
1607977769442,0.517
1607981377633,0.484
1607984985847,0.508
1607988594017,0.496
1607992202280,0.709
1607995810456,0.507
1607999418647,0.501
1608003026839,0.489
1608006635032,0.497
1608010243223,0.48
1608013851416,0.717
1608017459576,0.477
1608021067768,0.529
1608024675959,0.504
1608028284152,0.662
1608031892311,0.501
1608035500504,0.498
1608039108695,1.62
1608042716802,0.524
1608046324984,0.529
1608049933176,0.565
1608053541367,0.527
1608057149559,0.512
1608060757751,0.545
1608064365944,0.539
1608067974071,0.519
1608071582264,0.562
1608075190455,0.509
1608078798625,0.548
1608082406840,0.532
1608086015031,0.535
1608089623224,0.491
1608093231415,0.513
1608096839607,0.524
1608100447768,0.704
1608104055960,0.51
1608107664151,0.969
1608111272312,0.477
1608114880503,0.513
1608118488695,0.527
1608122096888,0.669
1608125705047,0.626
1608129313217,0.51
1608132921432,0.522
1608136529624,0.513
1608140137815,0.582
1608143746007,0.494
1608147354200,0.499
1608150962391,0.741
1608154570584,0.495
1608158178775,0.496
1608161786968,0.529
1608165395128,0.51
1608169003319,0.496
1608172611512,0.522
1608176219703,0.546
1608179827896,0.53
1608183436055,0.547
1608187044248,0.509
1608190652440,0.501
1608194260631,0.515
1608197868823,0.501
1608201477016,0.507
1608205085208,0.519
1608208693400,0.712
1608212301540,0.462
1608215909751,0.514
1608219517943,0.507
1608223126103,0.497
1608226734295,0.538
1608230342488,0.537
1608233950679,0.516
1608237558872,0.554
1608241167032,0.479
1608244775224,0.674
1608248383417,0.546
1608251991611,0.51
1608255599767,0.523
1608259207960,0.549
1608262816151,0.547
1608266424343,0.491
1608270032536,0.495
1608273640732,0.543
1608277248921,0.529
1608280857111,0.512
1608284465304,0.519
1608288073496,0.494
1608291681688,0.514
1608295289880,0.535
1608298898072,0.522
1608302506263,0.611
1608306114424,0.532
1608309722616,0.514
1608313330808,0.533
1608316939000,0.537
1608320547191,0.497
1608324155383,0.503
1608327763544,0.503
1608331371735,0.505
1608334979928,0.703
1608338588120,0.518
1608342196311,0.532
1608345804506,0.51
1608349412695,0.49
1608353020887,0.517
1608356629034,0.548
1608360237239,1.047
1608363845432,0.511
1608367453623,0.525
1608371061816,0.499
1608374670007,0.478
1608378278200,0.636
1608381886359,0.547
1608385494552,0.535
1608389102712,0.532
1608392710903,0.469
1608396319095,0.53
1608399927288,0.489
1608403535480,0.506
1608407143639,0.502
1608410751832,0.486
1608414360032,0.525
1608417968248,0.516
1608421576439,0.528
1608425184631,0.512
1608428792823,0.511
1608432401015,0.497
1608436009208,0.501
1608439617400,0.511
1608443225591,0.538
1608446833783,0.505
1608450441976,0.524
1608454050168,0.533
1608457658359,0.514
1608461266551,0.503
1608464874744,0.576
1608468482904,0.542
1608472091096,0.552
1608475699287,0.509
1608479307479,0.578
1608482915673,0.543
1608486523864,0.485
1608490132056,0.532
1608493740249,0.52
1608497348418,0.511
1608500956632,0.5
1608504564824,0.547
1608508173016,0.499
1608511781208,0.498
1608515389399,0.513
1608518997593,0.514
1608522605720,0.588
1608526213911,0.508
1608529822103,0.982
1608533430275,0.548
1608537038487,0.497
1608540646679,0.579
1608544254872,0.531
1608547863032,0.543
1608551471223,0.534
1608555079416,0.496
1608558687607,0.483
1608562295800,0.498
1608565903992,0.497
1608569512152,0.513
1608573120343,0.733
1608576728503,0.532
1608580336696,0.535
1608583944887,0.51
1608587553079,0.516
1608591161271,0.537
1608594769464,0.512
1608598377656,0.518
1608601985848,0.523
1608605594007,0.531
1608609202199,0.523
1608612810392,0.511
1608616418584,0.507
1608620026775,0.509
1608623634969,0.705
1608627243128,0.525
1608630851321,0.58
1608634459512,0.497
1608638067704,0.548
1608641675895,0.48
1608645284055,0.513
1608648892248,0.483
1608652500439,0.614
1608656108632,0.512
1608659716824,0.527
1608663325016,0.483
1608666933177,0.485
1608670541335,0.516
1608674149527,0.584
1608677757719,0.663
1608681365880,0.509
1608684974072,0.63
1608688582232,0.521
1608692190423,0.499
1608695798615,0.537
1608699406808,0.488
1608703015000,0.86
1608706623161,0.628
1608710231320,0.537
1608713839512,0.57
1608717447704,0.731
1608721055863,0.531
1608724664057,0.506
1608728272247,0.511
1608731880440,0.542
1608735488632,0.502
1608739096824,0.533
1608742705016,0.515
1608746313207,0.542
1608749921399,0.493
1608753529591,0.521
1608757137784,0.527
1608760745975,0.49
1608764354168,0.53
1608767962359,0.48
1608771570551,0.485
1608775178744,0.516
1608778786935,0.522
1608782395127,0.9
1608786003281,3.05
1608789611344,2.01
1608793219511,0.5
1608796827703,0.493
1608800435896,0.519
1608804044055,0.638
1608807652248,1.313
1608811260378,0.54
1608814868568,0.522
1608818476759,0.48
1608822084952,0.493
