timestamp,latency
1607811940331,0.508
1607815548525,0.54
1607819156707,0.518
1607822764867,0.605
1607826373059,0.548
1607829981250,0.511
1607833589418,0.492
1607837197610,0.511
1607840805801,0.52
1607844413995,0.503
1607848022188,0.527
1607851630347,0.529
1607855238539,0.539
1607858846730,0.492
1607862454923,0.527
1607866063115,0.539
1607869671307,0.474
1607873279499,0.537
1607876887691,0.522
1607880495882,0.494
1607884104076,1.107
1607887712235,0.502
1607891069417,0.813
1607894677603,0.509
1607898285794,0.547
1607901893986,0.473
1607905502156,1.202
1607909110371,0.726
1607912718564,0.621
1607916326724,1.106
1607919934883,0.525
1607923543043,0.531
1607927151235,0.583
1607930759426,0.539
1607934367588,0.512
1607937975779,0.506
1607941583948,0.494
1607945192162,0.487
1607948800354,0.528
1607952408515,0.678
1607956016643,0.518
1607959624835,0.653
1607963232994,0.533
1607966841187,0.507
1607970449379,1.466
1607974057571,0.537
1607977665763,0.503
1607981273955,0.507
1607984882147,0.519
1607988490307,0.527
1607992098499,0.508
1607995706627,0.515
1607999314819,0.685
1608002922924,0.497
1608006531138,0.508
1608010139331,0.524
1608013747523,0.518
1608017355714,0.512
1608020963907,0.522
1608024572099,0.518
1608028180291,0.477
1608031788483,0.497
1608035396675,0.521
1608039004835,0.547
1608042613027,0.537
1608046221218,0.517
1608049829411,0.772
1608053437570,0.535
1608057045763,0.533
1608060653955,0.546
1608064262148,1.049
1608067870339,0.576
1608071478531,0.498
1608075086722,0.501
1608078694915,0.51
1608082303107,0.537
1608085911299,0.512
1608089519491,0.895
1608093127684,0.524
1608096735874,0.545
1608100344067,0.729
1608103952226,0.536
1608107560419,0.52
1608111168610,0.507
1608114776803,0.503
1608118384996,0.666
1608121993155,0.54
1608125601347,0.51
1608129209507,0.531
1608132817699,0.522
1608136425890,0.53
1608140034084,0.84
1608143642243,0.567
1608147250435,0.554
1608150858627,0.551
1608154466818,0.777
1608158075011,0.506
1608161683203,0.512
1608165291395,0.559
1608168899587,0.598
1608172507779,0.541
1608176115972,0.576
1608179724163,0.54
1608183332355,0.53
1608186940547,0.515
1608190548739,0.538
1608194156931,0.525
1608197765101,0.543
1608201373315,0.53
1608204981507,0.526
1608208589699,1.166
1608212197858,0.498
1608215806050,0.621
1608219414243,1.067
1608223022371,0.682
1608226630563,0.591
1608230238755,0.492
1608233846946,0.529
1608237455139,0.54
1608241063330,0.621
1608244671491,0.884
1608248279651,0.572
1608251887843,0.526
1608255496034,0.494
1608259104227,0.548
1608262712419,0.572
1608266320612,2.01
1608269928802,0.548
1608273536995,0.53
1608277145123,0.999
1608280753260,0.517
1608284361475,0.498
1608287969667,0.581
1608291577859,0.767
1608295186019,0.557
1608298794210,0.546
1608302402404,0.567
1608306010594,0.517
1608309618787,0.51
1608313226978,0.537
1608316835171,0.559
1608320443367,0.549
1608324051523,0.502
1608327659715,0.785
1608331267875,0.534
1608334876066,0.495
1608338484259,0.578
1608342092450,0.524
1608345700643,0.505
1608349308836,0.543
1608352917027,0.759
1608356525187,0.604
1608360133383,1.031
1608363741577,2.121
1608367349763,0.551
1608370957954,0.517
1608374566147,0.517
1608378174306,0.732
1608381782467,0.52
1608385390659,0.518
1608388998851,0.516
1608392607010,0.488
1608396215180,0.509
1608399823373,0.559
1608403431565,0.515
1608407039778,0.905
1608410647939,0.549
1608414256130,0.547
1608417864323,0.533
1608421472514,0.522
1608425080707,0.509
1608428688899,0.676
1608432297090,0.487
1608435905283,0.534
1608439513475,0.569
1608443121666,0.534
1608446729859,0.516
1608450338051,0.519
1608453946243,0.553
1608457554403,0.541
1608461162595,0.538
1608464770787,0.551
1608468378979,0.506
1608471987171,0.585
1608475595363,0.51
1608479203555,0.538
1608482811748,0.511
1608486419938,0.72
1608490028131,0.529
1608493636322,0.508
1608497244515,0.493
1608500852707,0.514
1608504460877,0.511
1608508069090,0.522
1608511677283,0.506
1608515285475,0.618
1608518893667,0.526
1608522501859,0.891
1608526110020,0.524
1608529718211,0.502
1608533326403,0.533
1608536934595,0.523
1608540542765,0.547
1608544150980,0.587
1608547759171,0.523
1608551367362,0.489
1608554975555,0.511
1608558583747,0.505
1608562191939,0.523
1608565800130,0.744
1608569408323,0.516
1608573016515,0.516
1608576624707,0.869
1608580232898,1.14
1608583841091,0.589
1608587449251,0.542
1608591057443,0.632
1608594665603,0.528
1608598273796,0.489
1608601881987,0.531
1608605490179,0.516
1608609098370,0.494
1608612706562,0.63
1608616314755,0.522
1608619922925,1.151
1608623531075,0.536
1608627139267,0.526
1608630747459,0.511
1608634355651,0.528
1608637963842,0.502
1608641572035,0.586
1608645180226,0.523
1608648788421,0.58
1608652396610,0.507
1608656004803,0.551
1608659612994,0.59
1608663221187,0.533
1608666829378,0.47
1608670437571,1.093
1608674045731,0.486
1608677653923,0.519
1608681262082,0.472
1608684870275,0.511
1608688478466,0.499
1608692086659,1.121
1608695694850,0.495
1608699303043,0.531
1608702911236,0.514
1608706519427,0.514
1608710127618,0.532
1608713735779,0.497
1608717343970,0.503
1608720952163,0.502
1608724560354,0.974
1608728168492,0.517
1608731776708,0.5
1608735384899,0.507
1608738993091,0.509
1608742601283,0.512
1608746209475,0.906
1608749817635,0.609
1608753425795,0.507
1608757033987,0.509
1608760642180,0.511
1608764250371,0.502
1608767858563,0.53
1608771466755,0.733
1608775074928,0.533
1608778683139,0.689
1608782291298,0.513
1608785899491,0.618
1608789507683,0.52
1608793115875,0.517
1608796724067,0.819
1608800332228,0.533
1608803940419,0.569
1608807548611,0.549
1608811156803,0.495
1608814764995,0.492
1608818373186,0.591
1608821981379,0.499
1608825589571,0.501
1608829197763,1.297
1608832805917,3.11
1608836413983,1.019
1608840022147,0.551
1608843630307,0.568
1608847238499,0.492
1608850846691,0.476
1608854454882,0.512
1608858063075,0.552
1608861671268,0.519
1608865279459,0.495
1608868887655,0.913
1608872495811,0.488
1608876104003,0.49
1608879712195,0.51
1608883320386,0.543
1608886928580,0.505
1608890536771,0.728
1608894144963,0.507
1608897753155,0.531
1608901361347,0.513
1608904969539,0.497
1608908577731,0.518
1608912185922,0.51
1608915794116,0.531
1608919402308,0.512
1608923010499,0.535
1608926618690,0.539
1608930226883,0.522
1608933835074,0.534
1608937443267,0.524
1608941051459,0.515
1608944659651,0.507
1608948267842,0.54
1608951876035,0.539
1608955484226,0.525
1608959092419,1.14
1608962700610,0.558
1608966308804,0.486
1608969916995,0.612
1608973525121,0.523
1608977133315,0.991
1608980741475,0.521
1608984349666,0.515
1608987957827,0.602
1608991565987,0.492
1608995174179,1.322
1608998782307,0.482
1609002390499,0.516
1609005998690,0.509
1609009606884,1.141
1609013215043,0.496
1609016823235,0.575
1609020431428,0.511
1609024039619,0.466
1609027647810,0.507
1609031256003,0.509
1609034864195,1.145
1609038472387,0.525
1609042080579,0.557
1609045688771,0.535
1609049296967,0.525
1609052905155,0.499
1609056513347,0.491
1609060121539,0.504
1609063729730,0.5
1609067337923,0.685
1609070946083,0.578
1609074554275,0.504
1609078162467,0.518
1609081770659,0.522
1609085378851,0.506
1609088987043,0.504
1609092595234,0.55
1609096203395,0.546
1609099811587,0.553
1609103419779,0.529
1609107027971,0.501
1609110636163,0.55
1609114244354,0.527
1609117852547,0.528
1609121460738,0.535
1609125068931,0.533
1609128677123,0.989
1609132285315,0.503
1609135893507,0.487
1609139501700,0.518
1609143109891,0.49
1609146718083,0.502
1609150326274,0.539
1609153934466,0.469
1609157542658,0.71
1609161150787,0.518
1609164758946,0.503
1609168367139,0.49
1609171975330,0.499
1609175583491,1.184
1609179191651,0.476
1609182799843,0.503
1609186408036,0.52
1609190016226,0.55
1609193624418,0.493
1609197232611,0.476
1609200840807,0.517
1609204448995,0.542
1609208057188,0.467
1609211665379,0.504
1609215273570,0.497
1609218881763,0.528
1609222489956,0.505
1609226098147,0.502
1609229706309,1.493
1609233314413,0.53
1609236922627,0.529
1609240530819,0.487
1609244139011,0.514
1609247747203,0.502
1609251355395,0.496
1609254963588,0.529
1609258571779,0.555
1609262179971,0.489
1609265788162,0.485
1609269396355,0.486
1609273004547,0.507
1609276612739,0.502
1609280220931,0.575
1609283829091,0.687
1609287437284,0.541
1609291045443,0.48
1609294653637,0.527
1609298261828,0.498
1609301870019,0.526
1609305478211,0.519
1609309086403,0.536
1609312694595,0.513
1609316302786,0.559
1609319910979,0.529
1609323519171,0.474
1609327127363,0.509
1609330735555,0.494
1609334343748,0.533
1609337951939,0.482
1609341560131,0.514
1609345168322,0.496
1609348776515,0.596
1609352384676,0.51
1609355992867,0.519
1609359601036,0.518
1609363209251,0.499
1609366817443,0.519
